seqnames	start	end	width	strand	score	signalValue	pValue	qValue	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
29	chr1	2212714	2212894	181	*	35	3.86519	6.90591	3.58698	Verma_TET1_macs2_peak_55	199990	2184461	2212720	28260	-	0	overlapStart	0	FAAP20
30	chr1	2213091	2213293	203	*	36	4.04402	6.99028	3.66149	Verma_TET1_macs2_peak_56	199990	2184461	2212720	28260	-	370	upstream	370	FAAP20
31	chr1	3900393	3900721	329	*	40	4.26375	7.40438	4.0004	Verma_TET1_macs2_peak_65	100133612	3900352	3917225	16874	+	0	inside	40	LINC01134
32	chr1	3900393	3900721	329	*	40	4.26375	7.40438	4.0004	Verma_TET1_macs2_peak_65	339448	3889125	3900293	11169	-	99	upstream	99	C1orf174
33	chr1	5992671	5993042	372	*	63	5.20459	10.1314	6.32089	Verma_TET1_macs2_peak_69	261734	5862811	5992473	129663	-	197	upstream	197	NPHP4
34	chr1	6235934	6236408	475	*	66	6.25867	10.5072	6.6415	Verma_TET1_macs2_peak_70	23463	6221193	6235972	14780	-	0	overlapStart	0	ICMT
35	chr1	6393947	6394144	198	*	47	5.10335	8.26512	4.73022	Verma_TET1_macs2_peak_73	11332	6264269	6394391	130123	-	0	inside	246	ACOT7
36	chr1	6554107	6554728	622	*	354	12.5265	40.5985	35.4324	Verma_TET1_macs2_peak_79	79707	6521347	6554513	33167	-	0	overlapStart	0	NOL9
37	chr1	6554107	6554728	622	*	354	12.5265	40.5985	35.4324	Verma_TET1_macs2_peak_79	80835	6555307	6579755	24449	+	578	upstream	578	TAS1R1
38	chr1	6784939	6785339	401	*	55	4.1584	9.1979	5.51663	Verma_TET1_macs2_peak_80	110841581	6783892	6784843	952	-	95	upstream	95	CAMTA1-DT
39	chr1	6784939	6785339	401	*	55	4.1584	9.1979	5.51663	Verma_TET1_macs2_peak_80	23261	6785454	7769706	984253	+	114	upstream	114	CAMTA1
40	chr1	7770949	7771213	265	*	42	4.59349	7.70732	4.23927	Verma_TET1_macs2_peak_84	9341	7771296	7781432	10137	+	82	upstream	82	VAMP3
41	chr1	8424084	8424356	273	*	42	4.59349	7.70732	4.23927	Verma_TET1_macs2_peak_87	102724552	8424645	8435013	10369	+	288	upstream	288	RERE-AS1
42	chr1	8878622	8879139	518	*	62	4.81182	10.0333	6.23333	Verma_TET1_macs2_peak_90	100505975	8878835	8879894	1060	+	0	overlapStart	0	ENO1-AS1
43	chr1	8878622	8879139	518	*	62	4.81182	10.0333	6.23333	Verma_TET1_macs2_peak_90	2023	8861000	8879190	18191	-	0	inside	50	ENO1
44	chr1	9182802	9183122	321	*	57	5.20596	9.43924	5.71508	Verma_TET1_macs2_peak_95	106614088	9148011	9182392	34382	-	409	upstream	409	MIR34AHG
45	chr1	9234321	9234590	270	*	60	5.83661	9.81535	6.03728	Verma_TET1_macs2_peak_96	9563	9234775	9271337	36563	+	184	upstream	184	H6PD
46	chr1	9687487	9687869	383	*	41	4.88403	7.59429	4.1607	Verma_TET1_macs2_peak_100	101929074	9672426	9687555	15130	-	0	overlapStart	0	PIK3CD-AS2
47	chr1	9824228	9824420	193	*	40	4.81639	7.48364	4.05939	Verma_TET1_macs2_peak_102	22883	9729026	9824526	95501	-	0	inside	105	CLSTN1
48	chr1	9824514	9824730	217	*	40	4.81639	7.48364	4.05939	Verma_TET1_macs2_peak_103	22883	9729026	9824526	95501	-	0	overlapStart	0	CLSTN1
49	chr1	9942746	9942959	214	*	87	7.21594	12.8582	8.75562	Verma_TET1_macs2_peak_104	64802	9942923	9985501	42579	+	0	overlapStart	0	NMNAT1
50	chr1	9943067	9943601	535	*	175	8.35103	22.1449	17.5218	Verma_TET1_macs2_peak_105	64802	9942923	9985501	42579	+	0	inside	143	NMNAT1
51	chr1	9943067	9943601	535	*	175	8.35103	22.1449	17.5218	Verma_TET1_macs2_peak_105	84328	9922113	9943407	21295	-	0	overlapStart	0	LZIC
52	chr1	10032449	10032713	265	*	40	4.94385	7.39611	4.0004	Verma_TET1_macs2_peak_107	10277	10032832	10181239	148408	+	118	upstream	118	UBE4B
53	chr1	10032930	10033202	273	*	63	5.59406	10.1249	6.31616	Verma_TET1_macs2_peak_108	10277	10032832	10181239	148408	+	0	inside	97	UBE4B
54	chr1	10209977	10210508	532	*	33	3.62567	6.66034	3.3896	Verma_TET1_macs2_peak_110	23095	10210805	10381603	170799	+	296	upstream	296	KIF1B
55	chr1	10398861	10399261	401	*	29	2.95005	6.07958	2.94113	Verma_TET1_macs2_peak_112	5226	10398592	10420511	21920	+	0	inside	268	PGD
56	chr1	10472481	10472892	412	*	121	8.04947	16.5154	12.1707	Verma_TET1_macs2_peak_114	1676	10456522	10472529	16008	-	0	overlapStart	0	DFFA
57	chr1	10472481	10472892	412	*	121	8.04947	16.5154	12.1707	Verma_TET1_macs2_peak_114	5195	10472288	10630758	158471	+	0	inside	192	PEX14
58	chr1	10796507	10796945	439	*	92	7.03934	13.4104	9.26132	Verma_TET1_macs2_peak_116	54897	10636604	10796650	160047	-	0	overlapStart	0	CASZ1
59	chr1	11012210	11012723	514	*	251	11.5172	30.0453	25.1384	Verma_TET1_macs2_peak_120	23435	11012344	11030528	18185	+	0	overlapStart	0	TARDBP
60	chr1	11099584	11100005	422	*	195	8.87297	24.293	19.5691	Verma_TET1_macs2_peak_121	105376736	11099675	11102100	2426	+	0	overlapStart	0	EXOSC10-AS1
61	chr1	11099584	11100005	422	*	195	8.87297	24.293	19.5691	Verma_TET1_macs2_peak_121	5394	11066618	11099869	33252	-	0	overlapStart	0	EXOSC10
62	chr1	11273217	11273572	356	*	63	5.38152	10.106	6.30084	Verma_TET1_macs2_peak_122	29914	11273206	11296049	22844	+	0	inside	10	UBIAD1
63	chr1	11479019	11479287	269	*	51	4.22994	8.78253	5.15144	Verma_TET1_macs2_peak_126	57540	11479155	11537551	58397	+	0	overlapStart	0	DISP3
64	chr1	11654585	11654798	214	*	42	4.58237	7.68776	4.23817	Verma_TET1_macs2_peak_128	93611	11654375	11663327	8953	+	0	inside	209	FBXO44
65	chr1	11690648	11690894	247	*	23	3.68887	5.34424	2.38412	Verma_TET1_macs2_peak_131	374946	11691710	11725857	34148	+	815	upstream	815	DRAXIN
66	chr1	11691004	11691186	183	*	32	3.91455	6.48181	3.24743	Verma_TET1_macs2_peak_132	374946	11691710	11725857	34148	+	523	upstream	523	DRAXIN
67	chr1	11806239	11806589	351	*	32	3.75384	6.42978	3.21597	Verma_TET1_macs2_peak_134	1185	11806096	11848079	41984	+	0	inside	142	CLCN6
68	chr1	11806239	11806589	351	*	32	3.75384	6.42978	3.21597	Verma_TET1_macs2_peak_134	4524	11785723	11806920	21198	-	0	inside	330	MTHFR
69	chr1	11980372	11980622	251	*	28	3.42424	5.99714	2.87768	Verma_TET1_macs2_peak_136	9927	11980181	12013514	33334	+	0	inside	190	MFN2
70	chr1	12018796	12019855	1060	*	32	3.4352	6.47533	3.24743	Verma_TET1_macs2_peak_137	60672	12019466	12032045	12580	+	0	overlapStart	0	MIIP
71	chr1	12229789	12229976	188	*	60	5.64365	9.84995	6.06684	Verma_TET1_macs2_peak_138	55187	12230030	12512047	282018	+	53	upstream	53	VPS13D
72	chr1	12617964	12618282	319	*	45	4.43649	8.02213	4.51249	Verma_TET1_macs2_peak_141	9249	12567910	12618210	50301	-	0	overlapStart	0	DHRS3
73	chr1	12618546	12618761	216	*	28	4.18068	5.90946	2.8026	Verma_TET1_macs2_peak_142	9249	12567910	12618210	50301	-	335	upstream	335	DHRS3
74	chr1	15154484	15154670	187	*	39	4.75651	7.38542	3.99668	Verma_TET1_macs2_peak_144	200197	15111815	15153618	41804	-	865	upstream	865	TMEM51-AS1
75	chr1	15526762	15527116	355	*	41	3.60812	7.59552	4.16077	Verma_TET1_macs2_peak_148	23341	15526813	15592379	65567	+	0	overlapStart	0	DNAJC16
76	chr1	15526762	15527116	355	*	41	3.60812	7.59552	4.16077	Verma_TET1_macs2_peak_148	842	15490832	15526534	35703	-	227	upstream	227	CASP9
77	chr1	15683985	15684245	261	*	60	5.83661	9.81535	6.03728	Verma_TET1_macs2_peak_149	23207	15684320	15734769	50450	+	74	upstream	74	PLEKHM2
78	chr1	16499434	16499740	307	*	40	4.4846	7.51519	4.08533	Verma_TET1_macs2_peak_162	114819	16467436	16499257	31822	-	176	upstream	176	CROCCP3
79	chr1	16534830	16536036	1207	*	291	8.10077	34.1514	29.1496	Verma_TET1_macs2_peak_169	100132147	16533886	16535649	1764	-	0	overlapStart	0	LINC01783
80	chr1	16613369	16614052	684	*	43	2.57794	7.85334	4.37148	Verma_TET1_macs2_peak_171	55672	16562319	16613562	51244	-	0	overlapStart	0	NBPF1
81	chr1	16656958	16657225	268	*	28	2.59051	5.95428	2.84129	Verma_TET1_macs2_peak_174	84809	16618253	16657232	38980	-	0	inside	6	CROCCP2
82	chr1	16739952	16740626	675	*	216	5.89748	26.4368	21.6361	Verma_TET1_macs2_peak_181	9696	16740273	16972964	232692	+	0	overlapStart	0	CROCC
83	chr1	16859655	16859947	293	*	101	5.63992	14.3929	10.1727	Verma_TET1_macs2_peak_185	100500876	16858949	16859021	73	-	633	upstream	633	MIR3675
84	chr1	16871133	16871613	481	*	48	3.74813	8.45113	4.86686	Verma_TET1_macs2_peak_186	112267871	16870945	16883659	12715	+	0	inside	187	LOC112267871
85	chr1	16889275	16889697	423	*	78	4.59216	11.8089	7.80366	Verma_TET1_macs2_peak_189	105376805	16887577	16889706	2130	-	0	inside	8	LOC105376805
86	chr1	17054052	17054590	539	*	96	7.05456	13.8706	9.69159	Verma_TET1_macs2_peak_193	6390	17018722	17054170	35449	-	0	overlapStart	0	SDHB
87	chr1	18631148	18631570	423	*	32	4.06182	6.48646	3.24849	Verma_TET1_macs2_peak_199	5081	18630846	18748866	118021	+	0	inside	301	PAX7
88	chr1	18902573	18902781	209	*	30	3.94513	6.27909	3.09863	Verma_TET1_macs2_peak_204	8659	18871430	18902724	31295	-	0	overlapStart	0	ALDH4A1
89	chr1	19209978	19210325	348	*	83	5.45674	12.4554	8.3831	Verma_TET1_macs2_peak_205	101927895	19210501	19240704	30204	+	175	upstream	175	EMC1-AS1
90	chr1	19209978	19210325	348	*	83	5.45674	12.4554	8.3831	Verma_TET1_macs2_peak_205	23352	19074510	19210266	135757	-	0	overlapStart	0	UBR4
91	chr1	19251673	19251912	240	*	78	5.03565	11.8861	7.87388	Verma_TET1_macs2_peak_206	23065	19215660	19251527	35868	-	145	upstream	145	EMC1
92	chr1	19251673	19251912	240	*	78	5.03565	11.8861	7.87388	Verma_TET1_macs2_peak_206	51154	19251805	19260128	8324	+	0	overlapStart	0	MRTO4
93	chr1	19596694	19597320	627	*	503	17.149	55.9291	50.3692	Verma_TET1_macs2_peak_208	100532736	19596979	19658056	61078	+	0	overlapStart	0	MICOS10-NBL1
94	chr1	19596694	19597320	627	*	503	17.149	55.9291	50.3692	Verma_TET1_macs2_peak_208	105378614	19591802	19596832	5031	-	0	overlapStart	0	LOC105378614
95	chr1	20430705	20431044	340	*	26	3.65358	5.75178	2.66695	Verma_TET1_macs2_peak_209	339505	20360579	20431234	70656	-	0	inside	189	LINC01141
96	chr1	20485951	20486290	340	*	48	5.02014	8.4466	4.86238	Verma_TET1_macs2_peak_210	55450	20482391	20486210	3820	-	0	overlapStart	0	CAMK2N1
97	chr1	20486421	20486865	445	*	66	5.2194	10.5121	6.6415	Verma_TET1_macs2_peak_211	55450	20482391	20486210	3820	-	210	upstream	210	CAMK2N1
98	chr1	20661372	20661715	344	*	51	4.66985	8.77641	5.14933	Verma_TET1_macs2_peak_213	1650	20651767	20661544	9778	-	0	overlapStart	0	DDOST
99	chr1	20732269	20732485	217	*	48	4.31992	8.38707	4.82705	Verma_TET1_macs2_peak_215	400745	20719731	20732837	13107	-	0	inside	351	SH2D5
100	chr1	20787464	20787737	274	*	63	6.0777	10.2115	6.39123	Verma_TET1_macs2_peak_216	50809	20742679	20787323	44645	-	140	upstream	140	HP1BP3
101	chr1	21176684	21176864	181	*	102	7.40983	14.4831	10.255	Verma_TET1_macs2_peak_218	8672	20806292	21176888	370597	-	0	inside	23	EIF4G3
102	chr1	21176972	21177399	428	*	53	5.53534	8.97566	5.31429	Verma_TET1_macs2_peak_219	8672	20806292	21176888	370597	-	83	upstream	83	EIF4G3
103	chr1	21345677	21345915	239	*	38	4.17552	7.23912	3.86913	Verma_TET1_macs2_peak_220	1889	21217247	21345572	128326	-	104	upstream	104	ECE1
104	chr1	21509514	21509776	263	*	36	3.44412	6.95502	3.63019	Verma_TET1_macs2_peak_223	249	21509397	21578410	69014	+	0	inside	116	ALPL
105	chr1	21669785	21670028	244	*	26	3.65358	5.75178	2.66695	Verma_TET1_macs2_peak_224	5909	21596215	21669363	73149	-	421	upstream	421	RAP1GAP
106	chr1	21783549	21783877	329	*	35	3.86519	6.90591	3.58698	Verma_TET1_macs2_peak_225	84196	21678298	21783606	105309	-	0	overlapStart	0	USP48
107	chr1	22024397	22024744	348	*	35	4.4263	6.83888	3.54426	Verma_TET1_macs2_peak_231	998	22025511	22101360	75850	+	766	upstream	766	CDC42
108	chr1	22025460	22025658	199	*	50	4.93396	8.62101	5.00877	Verma_TET1_macs2_peak_232	101928043	22023990	22026048	2059	-	0	inside	389	LINC01635
109	chr1	22025460	22025658	199	*	50	4.93396	8.62101	5.00877	Verma_TET1_macs2_peak_232	998	22025511	22101360	75850	+	0	overlapStart	0	CDC42
110	chr1	23790891	23791226	336	*	49	4.89973	8.56036	4.95646	Verma_TET1_macs2_peak_242	11313	23791145	23795539	4395	+	0	overlapStart	0	LYPLA2
111	chr1	23800517	23800784	268	*	64	4.63279	10.2979	6.47227	Verma_TET1_macs2_peak_244	2582	23795599	23800781	5183	-	0	overlapStart	0	GALE
112	chr1	23980043	23980587	545	*	491	15.3972	54.6787	49.1474	Verma_TET1_macs2_peak_247	10772	23964347	23980927	16581	-	0	inside	339	SRSF10
113	chr1	24416363	24416543	181	*	37	4.58546	7.10344	3.76042	Verma_TET1_macs2_peak_251	90529	24356999	24416934	59936	-	0	inside	390	STPG1
114	chr1	24556367	24556651	285	*	105	7.60123	14.8097	10.5668	Verma_TET1_macs2_peak_252	100506985	24538802	24556024	17223	-	342	upstream	342	NCMAP-DT
115	chr1	24556367	24556651	285	*	105	7.60123	14.8097	10.5668	Verma_TET1_macs2_peak_252	400746	24556087	24609328	53242	+	0	inside	279	NCMAP
116	chr1	24745000	24745208	209	*	23	3.0736	5.24005	2.30806	Verma_TET1_macs2_peak_255	25932	24745382	24844321	98940	+	173	upstream	173	CLIC4
117	chr1	24745288	24745527	240	*	48	4.31992	8.38707	4.82705	Verma_TET1_macs2_peak_256	25932	24745382	24844321	98940	+	0	overlapStart	0	CLIC4
118	chr1	25232166	25232400	235	*	48	4.31992	8.38707	4.82705	Verma_TET1_macs2_peak_259	25949	25222276	25232502	10227	-	0	inside	101	SYF2
119	chr1	25337944	25338221	278	*	28	3.42424	5.99714	2.87768	Verma_TET1_macs2_peak_260	23585	25338317	25362361	24045	+	95	upstream	95	TMEM50A
120	chr1	25337944	25338221	278	*	28	3.42424	5.99714	2.87768	Verma_TET1_macs2_peak_260	57035	25242249	25338213	95965	-	0	overlapStart	0	RSRP1
121	chr1	25616375	25616581	207	*	73	6.2668	11.2791	7.33417	Verma_TET1_macs2_peak_262	57134	25617468	25786207	168740	+	886	upstream	886	MAN1C1
122	chr1	25799760	25800018	259	*	64	5.51219	10.3426	6.49638	Verma_TET1_macs2_peak_264	57190	25800176	25823308	23133	+	157	upstream	157	SELENON
123	chr1	25819738	25820492	755	*	101	6.39562	14.384	10.1661	Verma_TET1_macs2_peak_265	646471	25818491	25820797	2307	-	0	inside	304	LOC646471
124	chr1	25905992	25906590	599	*	32	3.4352	6.47533	3.24743	Verma_TET1_macs2_peak_266	100500808	25906362	25906454	93	-	0	includeFeature	0	MIR3917
125	chr1	25998114	25998553	440	*	51	4.69746	8.82946	5.18734	Verma_TET1_macs2_peak_268	5051	25959767	25998117	38351	-	0	overlapStart	0	PAFAH2
126	chr1	26233956	26234578	623	*	52	3.93614	8.93221	5.27802	Verma_TET1_macs2_peak_273	64793	26234200	26278808	44609	+	0	overlapStart	0	CEP85
127	chr1	26280095	26280341	247	*	81	6.12466	12.2175	8.17456	Verma_TET1_macs2_peak_274	83442	26280086	26281522	1437	+	0	inside	8	SH3BGRL3
128	chr1	26411010	26411360	351	*	63	5.20459	10.1314	6.32089	Verma_TET1_macs2_peak_276	79727	26410817	26429728	18912	+	0	inside	192	LIN28A
129	chr1	26471840	26472072	233	*	42	4.62558	7.76366	4.28686	Verma_TET1_macs2_peak_277	3151	26472440	26476642	4203	+	367	upstream	367	HMGN2
130	chr1	26472522	26472741	220	*	39	3.82709	7.34635	3.96368	Verma_TET1_macs2_peak_278	3151	26472440	26476642	4203	+	0	inside	81	HMGN2
131	chr1	26890153	26890564	412	*	44	4.41041	7.97251	4.48123	Verma_TET1_macs2_peak_286	54707	26876132	26890283	14152	-	0	overlapStart	0	GPN2
132	chr1	26900041	26900641	601	*	273	13.8833	32.2707	27.3102	Verma_TET1_macs2_peak_287	10726	26900238	26946871	46634	+	0	overlapStart	0	NUDC
133	chr1	26900041	26900641	601	*	273	13.8833	32.2707	27.3102	Verma_TET1_macs2_peak_287	63906	26890488	26900467	9980	-	0	overlapStart	0	GPATCH3
134	chr1	26960315	26960519	205	*	23	3.22281	5.35798	2.39159	Verma_TET1_macs2_peak_288	126695	26949562	26960468	10907	-	0	overlapStart	0	KDF1
135	chr1	27012790	27013108	319	*	22	2.9521	5.15493	2.24009	Verma_TET1_macs2_peak_290	115572	27005020	27012850	7831	-	0	overlapStart	0	TENT5B
136	chr1	27234276	27234534	259	*	67	6.52679	10.5801	6.70038	Verma_TET1_macs2_peak_293	23038	27234632	27308636	74005	+	97	upstream	97	WDTC1
137	chr1	27322065	27322295	231	*	47	3.77213	8.25484	4.72017	Verma_TET1_macs2_peak_295	84065	27322145	27336400	14256	+	0	overlapStart	0	TMEM222
138	chr1	27366820	27367043	224	*	68	5.00201	10.7701	6.86996	Verma_TET1_macs2_peak_298	9064	27355184	27366961	11778	-	0	overlapStart	0	MAP3K6
139	chr1	27725350	27725866	517	*	171	7.25133	21.7081	17.1049	Verma_TET1_macs2_peak_304	199870	27725979	27763122	37144	+	112	upstream	112	FAM76A
140	chr1	27830752	27830941	190	*	32	3.91455	6.48181	3.24743	Verma_TET1_macs2_peak_305	5511	27830782	27851676	20895	+	0	overlapStart	0	PPP1R8
141	chr1	27914365	27915236	872	*	60	5.22234	9.81499	6.03712	Verma_TET1_macs2_peak_306	6118	27891524	27914746	23223	-	0	overlapStart	0	RPA2
142	chr1	28505638	28506086	449	*	190	10.3738	23.7496	19.0516	Verma_TET1_macs2_peak_309	1104	28505943	28539300	33358	+	0	overlapStart	0	RCC1
143	chr1	28505638	28506086	449	*	190	10.3738	23.7496	19.0516	Verma_TET1_macs2_peak_309	8420	28505980	28510892	4913	+	0	overlapStart	0	SNHG3
144	chr1	28552862	28553230	369	*	51	5.4475	8.83206	5.18975	Verma_TET1_macs2_peak_312	54952	28553085	28578545	25461	+	0	overlapStart	0	TRNAU1AP
145	chr1	28581688	28581983	296	*	19	3.02139	4.7442	1.91638	Verma_TET1_macs2_peak_313	692073	28580920	28581056	137	-	631	upstream	631	SNORA16A
146	chr1	28642792	28643238	447	*	82	5.74133	12.2783	8.22464	Verma_TET1_macs2_peak_315	105378616	28643228	28648581	5354	+	0	overlapStart	0	LINC01715
147	chr1	28642792	28643238	447	*	82	5.74133	12.2783	8.22464	Verma_TET1_macs2_peak_315	6883	28589323	28643085	53763	-	0	overlapStart	0	TAF12
148	chr1	28648335	28648586	252	*	49	4.89973	8.56036	4.95646	Verma_TET1_macs2_peak_316	26824	28648600	28648733	134	+	13	upstream	13	RNU11
149	chr1	28736302	28736806	505	*	106	6.87638	14.874	10.6278	Verma_TET1_macs2_peak_318	51441	28736621	28769775	33155	+	0	overlapStart	0	YTHDF2
150	chr1	29123295	29123657	363	*	27	3.2544	5.84634	2.75123	Verma_TET1_macs2_peak_321	399474	29119429	29123903	4475	-	0	inside	245	TMEM200B
151	chr1	29124132	29124418	287	*	80	6.03464	12.0527	8.02592	Verma_TET1_macs2_peak_322	399474	29119429	29123903	4475	-	228	upstream	228	TMEM200B
152	chr1	30824348	30824615	268	*	23	3.67479	5.32042	2.3621	Verma_TET1_macs2_peak_327	105378622	30824217	30834864	10648	+	0	inside	130	LINC01778
153	chr1	31065381	31065868	488	*	91	6.47582	13.2692	9.1309	Verma_TET1_macs2_peak_328	9698	30931506	31065991	134486	-	0	inside	122	PUM1
154	chr1	31239293	31239498	206	*	63	5.8324	10.1691	6.35725	Verma_TET1_macs2_peak_332	79570	31179745	31239887	60143	-	0	inside	388	NKAIN1
155	chr1	31296555	31296878	324	*	40	4.81639	7.48364	4.05939	Verma_TET1_macs2_peak_333	51538	31296982	31364953	67972	+	103	upstream	103	ZCCHC17
156	chr1	31296555	31296878	324	*	40	4.81639	7.48364	4.05939	Verma_TET1_macs2_peak_333	9410	31259568	31296788	37221	-	0	overlapStart	0	SNRNP40
157	chr1	31576762	31576965	204	*	60	5.41248	9.80616	6.03132	Verma_TET1_macs2_peak_335	64129	31576485	31587686	11202	+	0	inside	276	TINAGL1
158	chr1	31618072	31618529	458	*	51	4.66985	8.77641	5.14933	Verma_TET1_macs2_peak_336	3061	31617686	31632518	14833	+	0	inside	385	HCRTR1
159	chr1	31644825	31645112	288	*	38	3.98845	7.15218	3.80115	Verma_TET1_macs2_peak_337	553115	31629866	31644896	15031	-	0	overlapStart	0	PEF1
160	chr1	31815873	31816110	238	*	23	3.67479	5.32042	2.3621	Verma_TET1_macs2_peak_341	90853	31790422	31816051	25630	-	0	overlapStart	0	SPOCD1
161	chr1	31944417	31944774	358	*	54	4.54728	9.16094	5.48356	Verma_TET1_macs2_peak_343	8073	31906421	31944856	38436	-	0	inside	81	PTP4A2
162	chr1	32108181	32108453	273	*	45	4.64208	8.09902	4.57586	Verma_TET1_macs2_peak_345	23633	32108056	32176563	68508	+	0	inside	124	KPNA6
163	chr1	32179493	32179708	216	*	44	4.93819	7.99014	4.49406	Verma_TET1_macs2_peak_346	200081	32179675	32198285	18611	+	0	overlapStart	0	TXLNA
164	chr1	32222079	32222351	273	*	32	4.2493	6.54192	3.29712	Verma_TET1_macs2_peak_347	56063	32214472	32222359	7888	-	0	inside	7	TMEM234
165	chr1	32222079	32222351	273	*	32	4.2493	6.54192	3.29712	Verma_TET1_macs2_peak_347	8668	32221928	32231604	9677	+	0	inside	150	EIF3I
166	chr1	32240363	32241363	1001	*	41	4.09255	7.63502	4.19007	Verma_TET1_macs2_peak_348	339483	32231658	32241620	9963	-	0	inside	256	MTMR9LP
167	chr1	32464887	32465100	214	*	25	2.82179	5.54303	2.51037	Verma_TET1_macs2_peak_350	653121	32465057	32605941	140885	+	0	overlapStart	0	ZBTB8A
